lift,drag,mach,aoa
0.0001534401799801223,-3.284866598000924e-7,0.01,0.0
9.300203288161238e-5,2.902724819398017e-7,0.035,0.0
9.664862422827363e-5,2.858858904816741e-7,0.06,0.0
5.7123175447806526e-5,-2.9956466417180305e-7,0.085,0.0
4.832497702862183e-6,-6.327566221542291e-7,0.11,0.0
9.289115445945684e-5,2.602814211799531e-7,0.135,0.0
8.934524445286616e-5,1.853982033311885e-7,0.16,0.0
8.550097073577482e-5,1.8455606939915548e-7,0.185,0.0
8.228953055416715e-5,1.8308637236841285e-7,0.21,0.0
-7.369420907196375e-6,-3.9476372104552127e-7,0.235,0.0
2.6713294529146447e-5,2.6575103551085277e-7,0.26,0.0
3.3889075829247124e-5,-3.253833497085523e-8,0.285,0.0
-1.5692306976922057e-5,-3.909275995694905e-7,0.31,0.0
-5.734825592733318e-5,-1.0333900404280172e-6,0.335,0.0
-1.73002309087995e-5,-5.241651181431273e-7,0.36,0.0
-8.27014612017965e-6,-8.174614204436992e-7,0.385,0.0
-2.0477815152789534e-5,-4.6937219033704736e-7,0.41,0.0
-2.2016287689488254e-5,-4.2541497680126383e-7,0.435,0.0
-2.025888865324517e-5,-4.308333122482466e-7,0.46,0.0
-1.6760173589869254e-5,-5.89335663381263e-7,0.485,0.0
-1.61595249542016e-5,-6.21928196720134e-7,0.51,0.0
-5.477708519348659e-5,-1.991494043007691e-7,0.535,0.0
-5.370429850684588e-5,-2.571920671989858e-7,0.56,0.0
-4.973124893137629e-5,-2.443685436226417e-7,0.585,0.0
-4.8981016578898e-5,-4.888402638236755e-7,0.61,0.0
-4.196038130288571e-7,-2.9949722590849603e-7,0.635,0.0
-4.676809089122075e-5,-4.298556905979467e-7,0.66,0.0
-3.695581613575444e-5,-5.206428113080364e-7,0.685,0.0
-3.25753599336176e-5,-8.103693325267614e-7,0.71,0.0
-3.438555534481663e-5,-6.345415108910402e-7,0.735,0.0
-2.2401942657374052e-5,-1.0256317262147263e-6,0.76,0.0
-1.274607057753091e-5,-3.2771896214534024e-6,0.785,0.0
-0.00010413091015664538,-8.523563006512802e-7,0.81,0.0
-1.4132750507100944e-6,-5.210202956185128e-6,0.835,0.0
5.853363808761003e-6,-1.0435104363715197e-5,0.86,0.0
2.0936561356266203e-5,-4.156383745623771e-6,0.885,0.0
2.918950854688407e-5,-1.1249382652067652e-6,0.91,0.0
4.1132676393398904e-5,-5.593580571172652e-6,0.935,0.0
5.3884637205167674e-5,-3.2362274104968947e-6,0.96,0.0
6.652376697620366e-5,-1.5108970963240154e-6,0.985,0.0
8.663009087439555e-5,-3.1744639521491536e-6,1.01,0.0
9.837343298184364e-5,-2.4610930893231853e-6,1.035,0.0
2.5460807221378e-5,-3.1325926030945084e-6,1.06,0.0
0.00024206101051083007,-5.129454503816078e-6,1.085,0.0
0.0001766067717828279,-1.2055313582948202e-6,1.11,0.0
0.00020138511159598083,-2.5771982379296787e-6,1.135,0.0
0.0002167802998370716,-1.2410955321229267e-6,1.16,0.0
0.00021999221585755624,3.5700957923268106e-6,1.185,0.0
0.00020417990624732596,2.299867706057057e-6,1.21,0.0
0.00020576285471465838,4.317725064595379e-6,1.235,0.0
0.0001996106852427959,5.507864457854339e-6,1.26,0.0
0.00019025196223626528,5.047892905452045e-6,1.285,0.0
0.0001662197409794952,7.0440758044298946e-6,1.31,0.0
0.00018864124605233457,4.229440243364024e-6,1.335,0.0
0.0002286145081369928,3.3243434671703653e-7,1.36,0.0
0.00026047233776624323,-1.974181529362795e-7,1.385,0.0
0.00023943303414239447,4.900650587558175e-7,1.41,0.0
0.00028450631166501705,-1.1604500365081094e-6,1.435,0.0
0.00027652173874434527,2.9024120351550664e-7,1.46,0.0
0.00027226061539811774,6.527029583480726e-7,1.485,0.0
-1.428800219568059e-6,-8.832503486932985e-8,0.01,0.1
0.0019994290332623617,-6.931656587050306e-7,0.035,0.1
0.005878973523992574,-3.5432383184569316e-6,0.06,0.1
0.011813269749769238,-7.65539800856585e-6,0.085,0.1
0.019904643295064427,-1.2493477222472182e-5,0.11,0.1
0.03008482095320919,-1.8917736479037717e-5,0.135,0.1
0.04242645254340042,-2.553529525427256e-5,0.16,0.1
0.056812761218185834,-3.427025443220044e-5,0.185,0.1
0.07335848180288329,-4.44894287321973e-5,0.21,0.1
0.09200848376881887,-5.653277683734248e-5,0.235,0.1
0.11297585069550334,-6.957667235696352e-5,0.26,0.1
0.13621912469493241,-8.416385609355537e-5,0.285,0.1
0.16177364426702848,-0.00010009935601607012,0.31,0.1
0.18970306086182653,-0.00011776878996894169,0.335,0.1
0.2200644137678831,-0.00013723715400060232,0.36,0.1
0.2529296865570575,-0.00015855356556637723,0.385,0.1
0.2882586294889551,-0.00018213936834898803,0.41,0.1
0.32643670088531623,-0.00020627843975395965,0.435,0.1
0.367268382958298,-0.00023334467682356586,0.46,0.1
0.41095450286507046,-0.0002626750183578608,0.485,0.1
0.4576123656810624,-0.0002947172157830025,0.51,0.1
0.507225697818839,-0.0003292551354636686,0.535,0.1
0.5602888669454834,-0.0003654780465338625,0.56,0.1
0.6166772316027777,-0.00040588641037131445,0.585,0.1
0.6766415583623144,-0.00044928976049396496,0.61,0.1
0.7404353117950441,-0.000496171644048804,0.635,0.1
0.8081491665368563,-0.0005470761561778836,0.66,0.1
0.8802037410847041,-0.0006025400192362085,0.685,0.1
0.9568295804402689,-0.0006628627026499245,0.71,0.1
1.0383746646043506,-0.000727965572047129,0.735,0.1
1.1252650895213803,-0.0007998369061703592,0.76,0.1
1.2206274750794135,-0.0008841267374282147,0.785,0.1
1.3322422646848942,-0.0009877158482902715,0.81,0.1
1.4611806929015496,-0.0011239453179623382,0.835,0.1
1.6077763209258877,-0.0012850781903503972,0.86,0.1
1.746818059611945,-0.0014238415201486276,0.885,0.1
1.8983994456175877,-0.0015953224268034916,0.91,0.1
2.0652415155921755,-0.0017783004525533386,0.935,0.1
2.2474322235786843,-0.001968492692627777,0.96,0.1
2.4448648720133295,-0.0021952534967795145,0.985,0.1
2.657219413134087,-0.0024191483159476945,1.01,0.1
2.8838764770573206,-0.002663447559079657,1.035,0.1
3.124170282575407,-0.002899653527279611,1.06,0.1
3.3768759996242923,-0.0031351067459368664,1.085,0.1
3.6406501497850905,-0.003371406096530194,1.11,0.1
3.9138559817392147,-0.003611745309136438,1.135,0.1
3.943654383197258,-0.003471259379672631,1.16,0.1
3.7286538749703784,-0.0030329837227611733,1.185,0.1
3.6471521330171153,-0.002852435971540501,1.21,0.1
3.5898103284016067,-0.0027279620551325934,1.235,0.1
3.5424086439431535,-0.0026279764336969436,1.26,0.1
3.504580578380588,-0.0025564134204643096,1.285,0.1
3.4740575170500807,-0.002495124284770611,1.31,0.1
3.451245953632201,-0.002441562744238013,1.335,0.1
3.438445666342756,-0.0024284093279725028,1.36,0.1
3.433052948875063,-0.002416311766179291,1.385,0.1
3.4331286894704527,-0.0024087785977862097,1.41,0.1
3.4376743149989655,-0.0024059147438393325,1.435,0.1
3.4463516166853956,-0.0024057353686544047,1.46,0.1
3.4583167665463854,-0.0024104881974942316,1.485,0.1
0.00012475718793455472,-1.0030518409961942e-7,0.01,0.2
0.003998710410290385,-3.6063558353366387e-6,0.035,0.2
0.011794566069737885,-1.3361742158005119e-5,0.06,0.2
0.02371270327381197,-2.792871245886619e-5,0.085,0.2
0.03973640662509634,-4.703028351557559e-5,0.11,0.2
0.060078863001752976,-6.993187488020525e-5,0.135,0.2
0.08453125221045336,-9.836427459881947e-5,0.16,0.2
0.11324259557209733,-0.0001319461043962078,0.185,0.2
0.14626567115241784,-0.00017085028301003224,0.21,0.2
0.18357282230934363,-0.00021551632127178588,0.235,0.2
0.2254600320254084,-0.00026488555089099197,0.26,0.2
0.27179297597061564,-0.00032083989880532515,0.285,0.2
0.3227912922042466,-0.00038216310347599647,0.31,0.2
0.3784801107205957,-0.0004503599860599117,0.335,0.2
0.4391035427636874,-0.0005240167347466129,0.36,0.2
0.5046712073109254,-0.0006050364563306987,0.385,0.2
0.575358699539174,-0.0006930819587039894,0.41,0.2
0.6513481323450137,-0.0007887283802714418,0.435,0.2
0.7328177724026341,-0.0008924651624427904,0.46,0.2
0.8199793522265838,-0.0010049899463157042,0.485,0.2
0.9130548729188512,-0.0011265634030633853,0.51,0.2
1.0122678197224573,-0.0012576756816338186,0.535,0.2
1.1179743029019205,-0.0014000095930033485,0.56,0.2
1.2304644147638055,-0.0015536783682201794,0.585,0.2
1.3501002590967655,-0.001720096794153303,0.61,0.2
1.477331220813807,-0.0018999884776826903,0.635,0.2
1.6124777489047377,-0.0020950071059484543,0.66,0.2
1.7562664116369855,-0.0023064624451041293,0.685,0.2
1.9090952395323313,-0.0025368779113419393,0.71,0.2
2.071791312452306,-0.0027879217135020617,0.735,0.2
2.2451195785710825,-0.00306197318587742,0.76,0.2
2.4354688606101096,-0.0033786374749267267,0.785,0.2
2.658074185441743,-0.0037807375356226913,0.81,0.2
2.915168591366768,-0.004288494045633584,0.835,0.2
3.2078672875630585,-0.00489915410687658,0.86,0.2
3.485325412404253,-0.005450163604680647,0.885,0.2
3.787823537552253,-0.006075337385341939,0.91,0.2
4.120780601271788,-0.006781106322582886,0.935,0.2
4.484374697542257,-0.007552822335171072,0.96,0.2
4.8784022562299985,-0.008393477217808254,0.985,0.2
5.302204164753594,-0.009283155513486463,1.01,0.2
5.754662340228574,-0.010210122006352407,1.035,0.2
6.234134458392588,-0.011133588524533167,1.06,0.2
6.738469238805959,-0.012034041520006866,1.085,0.2
7.264912891160396,-0.012950784757506995,1.11,0.2
7.8101497419699,-0.01387293374232712,1.135,0.2
7.86896345231068,-0.01333176003725356,1.16,0.2
7.441506132356927,-0.011652915494146043,1.185,0.2
7.2775795514828925,-0.010957156190386286,1.21,0.2
7.1625640930792445,-0.010479738048573495,1.235,0.2
7.067791892006294,-0.010107300479845094,1.26,0.2
6.992209592900936,-0.009825614268692107,1.285,0.2
6.931154417193644,-0.009593593635297992,1.31,0.2
6.885607455508591,-0.009404364820206013,1.335,0.2
6.859904540267613,-0.009316183775887055,1.36,0.2
6.848973415372776,-0.009266279780810294,1.385,0.2
6.849108321797427,-0.00923638343326516,1.41,0.2
6.858199183995145,-0.009222709877047208,1.435,0.2
6.875454316553304,-0.009225542282511157,1.46,0.2
6.89922596030023,-0.009236861278182573,1.485,0.2
